City,Country Code,Lat,Lon,Date,Temp (F),Humidity,Cloudiness,Wind Speed
northam,au,-31.65,116.67,2018-10-19 16:30:00,48.2,93,0,3.36
namibe,ao,-15.19,12.15,2018-10-19 17:07:21,71.36,100,0,9.55
sartell,us,45.62,-94.21,2018-10-19 16:36:00,58.19,50,40,11.41
monrovia,lr,6.33,-10.8,2018-10-19 16:30:00,86,74,75,8.05
cherskiy,ru,68.75,161.3,2018-10-19 17:09:38,5.12,85,44,5.19
kiama,au,-34.67,150.86,2018-10-19 16:00:00,62.6,88,8,3.74
new norfolk,au,-42.78,147.06,2018-10-19 16:30:00,62.6,59,0,8.05
cape town,za,-33.93,18.42,2018-10-19 16:00:00,64.4,55,0,25.28
khatanga,ru,71.98,102.47,2018-10-19 17:09:39,8.36,66,36,3.62
saint-philippe,re,-21.36,55.77,2018-10-19 16:30:00,74.25,83,75,4.7
souillac,mu,-20.52,57.52,2018-10-19 16:00:00,75.2,83,40,5.82
ushuaia,ar,-54.81,-68.31,2018-10-19 17:00:00,45.79,55,0,2.95
amahai,id,-3.31,129,2018-10-19 17:09:41,81.98,100,92,3.4
torbay,ca,47.66,-52.73,2018-10-19 16:00:00,39.2,93,75,11.41
punta arenas,cl,-53.16,-70.91,2018-10-19 16:00:00,49.17,57,0,5.82
dikson,ru,73.51,80.55,2018-10-19 17:09:42,31.85,100,80,6.42
tuktoyaktuk,ca,69.44,-133.03,2018-10-19 16:00:00,8.6,92,20,8.05
busselton,au,-33.64,115.35,2018-10-19 17:09:43,61.05,100,88,16.26
danville,us,37.65,-84.77,2018-10-19 16:30:00,59.72,51,1,9.17
prince rupert,ca,54.32,-130.32,2018-10-19 16:00:00,55.4,71,90,11.41
beira,mz,-19.84,34.84,2018-10-19 16:00:00,77,78,40,11.41
tasiilaq,gl,65.61,-37.64,2018-10-19 16:50:00,33.8,100,75,1.12
luanda,ao,-8.83,13.24,2018-10-19 16:00:00,82.4,69,20,9.17
hilo,us,19.71,-155.08,2018-10-19 15:56:00,61.27,94,1,4.7
sao filipe,cv,14.9,-24.5,2018-10-19 17:09:45,80.63,93,92,13.69
albany,au,-35.02,117.88,2018-10-19 17:09:46,51.2,82,0,13.47
astana,kz,51.13,71.43,2018-10-19 16:30:00,30.2,100,75,11.18
maba,cn,24.68,113.59,2018-10-19 17:09:46,62.81,98,100,2.51
athabasca,ca,54.72,-113.29,2018-10-19 17:09:47,48,58,0,6.08
atuona,pf,-9.8,-139.03,2018-10-19 17:09:47,79.32,100,76,15.59
chokurdakh,ru,70.62,147.9,2018-10-19 17:09:48,14.39,84,64,11.12
mount isa,au,-20.73,139.49,2018-10-19 16:30:00,59,51,0,3.18
yangzhou,cn,32.39,119.44,2018-10-19 17:09:48,55.29,97,92,6.53
avarua,ck,-21.21,-159.78,2018-10-19 16:00:00,69.8,64,75,18.34
fenoarivo,mg,-18.93,47.44,2018-10-19 16:30:00,71.6,49,20,8.05
lompoc,us,34.64,-120.46,2018-10-19 16:35:00,59.65,47,1,3.06
jamestown,sh,-15.94,-5.72,2018-10-19 17:09:49,68.25,100,0,17.72
touros,br,-5.2,-35.46,2018-10-19 17:09:50,84.9,65,0,15.82
